,question,answer,qtype
389,What does RNA viruses persist?,RNA viruses persist human semen.,1
390,What does RNA viruses affect?,RNA viruses affect male reproductive health.,1
391,What does out-of-state intensivist volunteers enhance?,out-of-state intensivist volunteers enhance critical care support.,1
392,What does tele-ICU service improve?,tele-ICU service improve quality of care of patients.,1
393,What does out-of-state telecritical care service support?,out-of-state telecritical care service support ICUs.,1
394,What does data on exposures and transmission pairs estimate?,data on exposures and transmission pairs estimate age-specific probability of transmission.,1
395,What does ambient temperature association?,ambient temperature association fetal health.,1
396,What does vulnerability of the unborn contribute?,vulnerability of the unborn contribute adverse birth outcomes.,1
397,What does ambient temperature association?,ambient temperature association stillbirth risk.,1
398,What does socio-economic development contribute?,socio-economic development contribute uneven decline in climate vulnerability of the unborn.,1
399,What does micro-mobility reduce?,micro-mobility reduce congestion phenomena in urban traffic.,1
400,What does JEV-induced immunosuppression relation?,JEV-induced immunosuppression relation inflammatory responses.,1
401,What does JEV regulate?,JEV regulate differentiation of M-MDSCs.,1
402,What does mimicry infect?,mimicry infect host cells.,1
403,What does this virus cause?,this virus cause disease.,1
404,What does proteins role?,proteins role virus entry and encapsidation of the viral particles.,1
405,What does motif regions disrupt?,motif regions disrupt viral infection.,1
406,What does Viruses cause?,Viruses cause respiratory infection.,1
407,What does design space exploration methodology develop?,design space exploration methodology develop IoT products.,1
408,What does immune response contain?,immune response contain viral replication.,1
409,What does immune response control?,immune response control viral replication.,1
410,What does immune response contribute?,immune response contribute development of neuropathology.,1
411,What does development of cardiac injury association?,development of cardiac injury association short-term mortality.,1
412,What does compliance measurement assess?,compliance measurement assess guideline effectiveness.,1
413,What does puerarin alleviate?,puerarin alleviate intestinal injury in piglets infected with PEDV.,1
414,What does puerarin reduce?,puerarin reduce morbidity of piglets infected with PEDV.,1
415,What does puerarin increase?,puerarin increase D-xylose concentration.,1
416,What does Puerarin decrease?,Puerarin decrease mRNA levels of glutathione S-transferase omega 2.,1
417,What does puerarin improve?,puerarin improve intestinal function in piglets infected by PEDV.,1
418,What does It maintain?,It maintain homeostasis of the renin-angiotensin system.,1
419,What does Quest Diagnostics perform?,Quest Diagnostics perform tests.,1
420,What does proximity extension immunoassaying measure?,proximity extension immunoassaying measure sACE2.,1
421,What does proximity extension immunoassaying measure?,proximity extension immunoassaying measure leptin levels.,1
422,What does sACE2 associations?,sACE2 associations liver damage.,1
423,What does MetS component biomarkers associate?,MetS component biomarkers associate plasma sACE2.,1
424,What does sACE2 biomarker?,sACE2 biomarker COVID-19 severity.,1
425,What does SARS-CoV-2 infection impact?,SARS-CoV-2 infection impact central nervous system (CNS).,1
426,What does pericyte-like cells (PLCs) infection?,pericyte-like cells (PLCs) infection authentic SARS-CoV-2.,1
427,What does PLCs elicit?,PLCs elicit astrocytic maturation.,1
428,What does neural crest stem cells (NCSCs) derive?,neural crest stem cells (NCSCs) derive pericytes.,1
429,What does pericytes regulate?,pericytes regulate signals from neighboring cells.,1
430,What does ensemble learning estimate?,ensemble learning estimate uncertainty originating from trainable parameters of the network.,1
431,What does uncertainty estimation method detect?,uncertainty estimation method detect out-of-distribution samples.,1
432,What does microarrays role?,microarrays role molecular diagnostics.,1
433,What does microarrays role?,microarrays role pathogen detection.,1
434,What does questionnaire cover?,questionnaire cover history of recent symptoms.,1
435,What does Signaling mediated?,Signaling mediated ROS-Dependent Apoptosis.,1
436,What does measurement system inform?,measurement system inform HIV/AIDS control cross the globe.,1
437,What does growth fundamentals build?,growth fundamentals build exposure to crises in emerging markets.,1
438,What does social threats activate?,social threats activate anticipatory neural-immune responses.,1
439,What does divisive politics degrade?,divisive politics degrade social fabric.,1
440,What does bats originate?,bats originate pathogens.,1
441,What does predictive tool support?,predictive tool support therapeutic approach to Covid-19 disease.,1
442,What does RT-qPCR quantify?,RT-qPCR quantify sgRNA.,1
443,What does RT impact?,RT impact LR.,1
444,What does virtual simulation education programmes provide?,virtual simulation education programmes provide better knowledge acquisition.,1
445,What does donor recruitment strategies stimulate?,donor recruitment strategies stimulate these donors.,1
446,What does distributed representation judge?,distributed representation judge similarity.,1
447,What does therapies associate?,therapies associate BSI occurrence in COVID-19 patients.,1
448,What does antiviral peptides treatment?,antiviral peptides treatment COVID-19.,1
449,What does involvement construct predict?,involvement construct predict motivation of individuals to comply.,1
450,What does COVID-19 cause?,COVID-19 cause organ collapses.,1
451,What does non-lytic effector mechanism inhibit?,non-lytic effector mechanism inhibit viral replication.,1
452,What does antibodies deactivate?,antibodies deactivate free virus.,1
453,What does COVID-19 model study?,COVID-19 model study cell-to-cell transmission of the virus.,1
454,What does lytic and non-lytic immune responses effect?,lytic and non-lytic immune responses effect model dynamics.,1
455,What does Fractional order differential equation use?,Fractional order differential equation use nonlinear mathematical modelling.,1
456,What does Fractional order differential equation tool?,Fractional order differential equation tool nonlinear mathematical modelling.,1
457,What does FDEs model?,FDEs model real-life phenomena.,1
458,What does FDE describe?,FDE describe memory feature for the biological system in mathematical epidemiology.,1
459,What does Molecular-based testing diagnose?,Molecular-based testing diagnose COVID-19.,1
460,What does antibodies against?,antibodies against S protein.,1
461,What does glycemic control key?,glycemic control key type 2 diabetes mellitus management.,1
462,What does GPU architecture use?,GPU architecture use computations.,1
463,What does fibrillation etiology?,fibrillation etiology ischemic stroke.,1
464,What does atrial fibrillation cause?,atrial fibrillation cause ischemic stroke.,1
